id,label,f01|E:url[seminar],f02|#:text[abstract],f03|#:text[location],f04|#:text[LOCATION],f05|#:text[speaker],f06|#:text[SPEAKER],f07|#:text[date|time],f08|#:text[DATE|TIME],f09|#:tag[img],f10|#:text[tbc/tba],f11|#:tag[table],f12|#:url[neg_word],f13|#:text[seminar],f14|#ratio:text[LOCATION-TIME]
39408,2,1,12,14,13,2,0,25,10,7,0,0,0,36,1
11049,2,3,0,24,11,2,3,3,10,10,0,1,0,16,1
31333,2,2,0,1,1,1,0,3,31,1,0,0,0,9,0
45430,2,1,11,11,13,2,0,21,10,7,0,0,0,36,1
76769,2,2,0,5,3,2,63,4,29,1,0,0,0,9,0
48857,2,1,1,1,0,0,14,0,9,1,0,0,0,13,0
12189,2,1,0,6,4,7,0,1,8,1,0,2,0,10,0
14535,2,0,13,70,25,59,0,19,61,11,0,0,1,4,0
39598,2,1,10,11,13,2,0,21,10,7,0,0,0,22,1
10999,2,1,5,29,5,3,0,15,57,42,0,11,0,20,0
47625,2,1,0,4,6,3,6,5,8,6,0,0,0,19,0
13013,2,0,3,6,4,13,0,7,12,5,0,0,1,2,0
99357,2,1,7,17,41,4,32,3,605,13,1,1,0,26,0
39599,2,1,8,11,13,2,0,21,8,7,0,0,0,21,1
48844,2,3,3,6,2,0,68,2,94,1,0,0,0,29,0
109795,2,1,1,15,0,0,10,4,7,4,0,0,0,12,0
39261,2,1,11,11,13,2,0,28,10,7,0,0,0,39,1
40578,2,1,16,16,15,8,14,25,10,7,0,0,0,50,1
3027,2,2,0,5,3,1,3,0,9,13,0,1,0,17,0
48836,2,1,2,4,2,2,31,0,45,1,0,0,0,18,0
72081,2,1,0,0,8,1,5,3,3,10,2,1,0,12,2
35456,2,1,0,26,38,0,0,0,23,4,1,1,0,17,1
40952,2,1,11,12,13,2,3,23,11,7,0,0,0,37,1
99330,2,1,0,6,5,0,6,0,11,10,0,1,0,12,0
39426,2,1,10,11,13,2,0,22,10,7,0,0,0,37,1
77613,2,1,0,4,3,1,0,1,0,3,0,1,0,9,3
39262,2,1,11,13,13,2,0,25,10,7,1,0,0,35,1
110410,2,1,0,2,17,3,26,0,15,3,1,0,0,22,1
19135,2,1,1,0,1,4,2,3,46,1,1,1,0,47,0
99349,2,1,0,2,1,0,0,2,0,11,0,1,0,19,1
33110,2,1,2,10,9,1,0,0,0,3,0,1,0,30,9
42448,2,1,10,11,13,2,3,21,10,7,1,0,0,22,1
95205,2,1,0,1,1,0,1,2,20,0,1,0,0,6,0
92480,2,1,0,12,10,1,0,1,1,3,7,1,0,17,10
45688,2,1,14,17,13,3,0,24,10,7,0,0,0,42,1
43532,2,1,14,14,13,2,1,22,10,7,0,0,0,43,1
18973,2,1,0,0,1,4,2,3,26,1,1,2,0,30,0
107672,2,2,0,16,17,0,12,1,15,3,0,0,0,28,1
99457,2,1,0,14,11,0,12,0,48,12,0,1,0,14,0
110380,2,1,0,4,32,10,23,0,25,3,3,0,0,27,1
37382,2,1,0,11,13,2,0,11,1,8,1,0,0,19,13
111039,2,1,0,1,2,2,11,4,11,2,0,0,0,4,0
39660,2,1,8,11,13,2,0,21,8,7,0,0,0,21,1
3029,2,2,0,4,1,0,2,0,21,13,0,1,0,16,0
33103,2,1,2,53,49,1,12,2,0,3,6,1,0,146,49
33104,2,1,1,50,49,1,3,0,0,3,6,1,0,97,49
70467,2,2,0,0,0,9,19,0,1,19,0,9,0,16,0
40929,2,1,10,12,13,2,0,27,10,7,0,0,0,37,1
2926,2,1,0,11,6,0,12,5,24,16,0,0,0,13,0
11067,2,2,0,1,0,0,0,1,0,18,0,0,0,20,0
41288,2,1,10,13,13,4,1,25,10,7,0,0,0,38,1
73405,2,1,0,1,1,1,13,0,6,1,0,0,0,10,0
45687,2,1,10,11,13,2,0,21,10,7,0,0,0,35,1
33100,2,1,1,30,27,1,8,1,0,3,11,1,0,106,27
107488,2,1,0,13,5,4,3,17,8,3,0,0,0,22,0
45429,2,1,10,11,13,2,1,21,10,7,0,0,0,38,1
39517,2,1,10,12,13,2,2,21,10,7,0,0,0,22,1
39425,2,1,10,13,13,2,0,24,12,7,0,0,0,36,1
3042,2,3,0,10,4,1,0,2,4,18,0,1,0,25,1
11257,2,1,0,18,8,1,0,3,8,6,0,1,0,16,1
48216,2,1,0,11,6,2,6,3,30,3,0,0,0,38,0
47661,2,1,0,3,5,1,3,2,5,6,0,0,0,18,1
2940,2,1,1,5,0,7,18,3,39,16,0,0,0,14,0
18573,2,1,0,2,0,3,4,0,3,4,0,0,0,13,0
41266,2,1,9,14,13,2,0,23,10,7,0,0,0,39,1
111321,2,1,0,1,2,2,10,6,12,2,0,0,0,5,0
2937,2,1,0,14,1,3,8,2,29,16,0,0,0,11,0
99458,2,1,0,8,7,0,0,1,17,10,0,1,0,18,0
14581,2,0,4,29,22,23,0,10,49,17,0,0,1,4,0
33107,2,1,0,3,2,1,0,0,0,3,0,1,0,16,2
40933,2,1,13,19,13,2,4,29,10,7,0,0,0,38,1
33079,2,1,0,3,2,1,0,1,0,3,1,1,0,16,2
40934,2,1,11,12,13,2,9,21,11,7,1,0,0,43,1
45435,2,1,10,11,13,2,0,22,10,7,0,0,0,37,1
110572,2,1,0,1,16,1,14,0,12,3,0,0,0,21,1
70811,2,1,1,16,1,1,13,5,8,5,1,0,0,14,0
39432,2,1,11,16,13,3,0,25,12,7,0,0,0,36,1
38031,2,1,0,10,13,6,2,11,2,7,0,0,0,21,6
38857,2,1,10,11,13,2,0,21,10,7,0,0,0,22,1
39541,2,1,2,11,13,2,0,21,2,7,0,0,0,21,6
35727,2,1,2,17,24,5,65,1,24,58,2,0,0,39,1
38863,2,1,11,13,13,2,0,23,10,7,0,0,0,39,1
39427,2,1,11,11,13,2,0,21,11,7,0,0,0,38,1
41259,2,1,9,11,13,2,0,21,8,7,0,0,0,32,1
39265,2,1,10,14,13,2,0,24,11,7,0,0,0,37,1
39258,2,1,6,11,13,2,0,24,6,7,0,0,0,31,2
13010,2,0,3,6,4,13,0,7,12,5,0,0,1,2,0
39409,2,1,12,11,13,2,0,26,10,7,0,0,0,40,1
39428,2,1,10,12,13,2,0,22,11,7,0,0,0,42,1
70259,2,1,1,4,2,2,4,3,0,3,0,1,0,14,2
70291,2,1,0,1,1,1,2,2,2,7,2,1,0,7,0
45434,2,1,10,11,13,2,0,22,10,7,0,0,0,37,1
11051,2,2,0,24,10,8,4,2,10,10,0,1,0,21,1
13018,2,0,1,6,8,11,0,7,10,7,0,0,1,3,0
48858,2,2,1,3,0,0,15,0,10,1,0,0,0,15,0
40951,2,1,10,11,13,2,3,22,10,7,0,0,0,43,1
98350,2,1,0,2,1,5,7,0,32,11,0,1,0,14,0
48734,2,1,0,3,3,4,2,1,4,7,0,0,0,9,0
99868,2,1,3,14,13,0,3,2,63,10,0,1,0,17,0
40536,2,1,10,11,13,2,3,22,10,7,0,0,0,43,1
